project;plan
svg_icon_field;"This module is now complient with Drupal 9."
formatter_suite;"Formatter Suite 8.x-1.3 is compatible with Drupal 9."
extra_body_classes;"Compatible with Drupal 9"
svg_upload_sanitizer;"This module already supports Drupal 9."
pager_for_content_type;"This project is compatible with Drupal 9."
n1ed;"N1ED is 100% ready for Drupal 9"
jsonb;"Compatible with 9.0 since 8.x-1.0-beta3"
varbase_workflow;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_workflow?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
ckeditor_oembed;"Porting this project to D9 will start with Drupal 8.9 first release ."
formassembly;"Version 1.2+ is tested on D9"
lockr;"Lockr works wonderfully on Drupal 9!"
events_logging;"Version 8.x-1.5 is drupal 9 compatible"
improve_line_breaks_filter;"This module supports Drupal 9."
jquery_ui_selectmenu;"8.x-1.2+ is Drupal 9 compatible."
oembed_lazyload;"This module was spawned on Drupal 9 and is backwards-compatible to Drupal ^8.8!"
pet;"Please help in finishing Drupal 8 issues, so this module can be ported to Drupal9."
social_post;"Version 3.x supports Drupal 9!"
gridstack;"GridStack 8.x-2.x supports Drupal 9. Enjoy."
modifiers_pack;"This module is Drupal 9 compatible."
radioactivity;"The 8.x-3.0-beta1 release is Drupal 9 compatible."
colors;"Compatible since version 8.x-1.0-beta1"
groupmenu;"This module is ready for Drupal 9 since beta3!"
country_state_city;"Module is compatible with Drupal 9."
readmore;"For stable release planning, see [#3099855].  Help is welcome!"
elevatezoomplus;"ElevateZoom Plus 8.x supports Drupal 9. Enjoy."
hover_effects;"Available for Drupal 9"
social_wall;"This module is Drupal 9 ready."
page_title_visibility;"This module is compatible with Drupal 9! See [#3130312]"
bootstrap_horizontal_tabs;"Read about this project's readiness at [#3130321]"
instagram_graph;"This module is compatible with Drupal 9."
better_login_form_config;"8.x-2.x is Drupal 9 compatible"
simple_user_management;"This module is Drupal 9 ready."
ipless;"This module is ready for Drupal 9."
htmlpurifier;"As of 1.0-rc2, full support for Drupal 8 and Drupal 9 is available."
prevnext;"To fully support Drupal 9, the Prevnext module will be tagging a 2.0.0 release. This release will remove deprecated code and fix any backward compatibility breaking issues"
json_feed;"Drupal 9 is supported as of version 1.2."
smart_read_more_link;[#3082517]
video_embed_brightcove;"This module is Drupal 9 compatible."
cookie_content_blocker;"8.x-1.6+ is Drupal 9 compatible."
ui_patterns_field_formatters;"Already compatible (no deprecated API & core_version_requirement is set)"
visually_impaired_module;"8.x-1.3+ is Drupal 9 compatible."
media_entity_lottie;"Requires Drupal: ^8.8 || ^9"
mixitup_views;"The module supports Drupal 9 starting from the 8.x-1.12 release.  Starting from the 8.x-2.0 branch Composer 2.0 support added."
fieldable_path;"Compatible with Drupal 9 as of <a href=""/project/fieldable_path/releases/8.x-1.0-rc6"">8.x-1.0-rc6</a>."
restaurant_lite;"The theme is fully compatible with Drupal 9"
chatbot_api;"Drupal 9 compatible since version 2.0-rc2 ."
error_log;"The 8.x-1.x branch of this module supports Drupal 9."
onomasticon;"Drupal 9 is fully supported since version 1.5."
views_node_access_filter;"This module is Drupal 9 ready."
slick_carousel_slider;"Available for Drupal 9."
marketing_cloud;"This project is Drupal 9 ready"
logging_alerts;"Logging and alerts 8.x-1.0+ supports Drupal 9."
metatag_google_scholar;"No known Drupal 9 compatibility issues."
date_recur_interactive;"Not tested with Drupal 9. As of September 2020 the recommended path is to switch to an alternative/custom widget than continue using this in Drupal 9. This may change if a new maintainer is identified."
erd;"This module is Drupal 9 ready."
twitter_profile_widget;"This module is Drupal 9 compatible"
taxonomy_term_revision;"Drupal 9 compatible!🎉"
cocoen_beforeafter;"Drupal 9 is also supported."
sitemeta;"This module is Drupal 9 ready."
mili;"Mili is compatible with 9 also."
admin_toolbar_content;"D9 ready"
media_download;"Ready for Drupal 9 since the initial release."
feed_block;"This module is Drupal 9 compatible! See [#3130335]"
visually_impaired_theme;"8.x-1.3+ is Drupal 9 compatible."
get_tweets;"Release <code>8.x-1.2-beta1</code> is D9 compatible!"
prometheus_exporter;"The 8.x-1.x branch is compatible with Drupal 9"
rules_user_fields;"Release 2.x is compatible with Drupal 9."
ckeditor_blockimagepaste;"This project is Drupal 9 ready!"
api_ai_webhook;"Drupal 9 is fully supported from version 2.0-rc4."
webform_validation;"Help port this project at [#2220971]."
user_online_status;"User Online Status is ready for Drupal 9."
ds_chains;"This module is ready for Drupal 9 as of 8.x-1.1!"
search_api_stats;"This module has been updated for Drupal 9. Please open an issue if you encounter any challenges."
obfuscate;"8.x-1.x is Drupal 9 compatible."
edux;"Edu X Theme is compatible with Drupal 9 also."
form_display_field_machine_name;"Form Display Field Machine Name 8.x-1.2+ supports Drupal 9. Enjoy."
ckeditor_format_buttons;"This module is Drupal 9 ready."
bulk_edit_terms;"D9 ready"
wistia;"8.x-1.x and 2.x are Drupal 9 compatible."
rng_quick;"Not yet."
scrollup;"This module is ready for Drupal 9 (<a href=""https://www.drupal.org/project/scrollup/issues/3148699"" title=""#3148699 Automated Drupal 9 compatibility""><del>#3148699 Automated Drupal 9 compatibility</del></a>)"
image_base64_formatter;[#3082557]
api_tokens;"8.x-2.1+ is Drupal 9 compatible."
wysiwyg_mediaembed;"This has been updated for Drupal 9 compatibility, file an issue if there are problems."
migrate_skip_on_404;"Drupal 9 supported."
civicccookiecontrol;"This module is compatible with drupal 9."
twig_typography;"This module is ready for Drupal 9."
dynamictagclouds;"Drupal 9 compatible from 8.x-2.1 version."
shorthand;"<code>2.0</code> has Drupal 9 support."
webform_simplenews_handler;[#3084207]
search_api_opensolr;"Search API opensolr supports Drupal 8 and 9 in parallel."
entity_save_and_addanother;"This module is Drupal 9 compatible 🍻"
recipe;"Versions 8.x-2.0-alpha3 and higher are compatible with Drupal 9!"
layout_builder_kit;"Ready for D9."
ueditor;"Already updated done! enjoy!"
config_single_export;"Module should be ready for Drupal 9. See [#3099570]"
instawidget;"Dev release ported to D9"
theme_breakpoints_js;"The latest beta release is compatible with D9. Feel free to test it and report back in the issue queue if you have any problems or if it works well for you."
epp;"<em>Entity Prepopulate</em> is D9 ready."
video_embed_field_plyr;"Version 2.x works on 9.x and supports oEmbed too."
workflow_buttons;"Avoiding deprecated functions; expected to work with Drupal 9."
porterstemmer;"This project is compatible with Drupal 9."
webform_mass_email;"This module is Drupal 9 compatible."
accordion_blocks;"2.0.x is Drupal 9 compatible"
migrate_source_directory;"Compatible with Drupal 9."
layoutbuilder_extras;"Is D9 ready"
field_load_more;"Field load more 8.x-2.0+ supports Drupal 9."
bulk_copy_fields;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
views_filter_select;"D9 ready"
regcode;"The 8.x-1.x branch of this module is fully compatible with Drupal 9."
webform_invitation;"Drupal 9 is fully supported since version 1.1."
whoops;"The latest release is compatible with Drupal 9."
admin_toolbar_version;"D9 ready"
search_api_tracking;"D9 ready"
search_overrides;"This module is Drupal 9 ready."
user_account_language_negotiation;"Fully compatible with Drupal 9 since release 8.x-1.4."
better_module_dependencies;"Drupal 9 compatible"
views_dates;"Drupal 9 is supported."
admin_menu_search;"Drupal 9 compatible from 8.x-1.1 version."
ui_styles;"Already compatible (no deprecated API & core_version_requirement is set)"
paragraphs_modal_edit;"This module is ready for D9!"
data;"Help port this project at [#3088972]"
die_in_twig;"Release 8.x-2.1 is compatible for Drupal 8"
menu_link;[#3199076]
fixed_path_alias;"Done as part of [#3086814]"
analytics;"This module is Drupal 9 ready!"
abjs;Enjoy!
usernotification;"Ready to use for Drupal 9."
video_embed_jwplayer;"Use 1.0+ of this module"
imagefield_default_alt_and_title;"This module is Drupal 9 ready!"
external_data_source;"Use the 3.x.x version."
auto_alter;"Version 8.x-1.10 and above are Drupal 9 compatible!"
http_client_error_status;"Please use version 2.x for full Drupal 9 compatibility."
civic_accessibility_toolbar;"This module is compatible with drupal 9."
fallback_formatter;"This module is Drupal 9 ready."
webform_remote_handlers;"Work in progress to fully support this module in Drupal 9"
social_post_twitter;"Social Post Twitter 3.x supports Drupal 9."
metatag_head_title;"Release 1.1 should work with D9."
entity_comparison;"This module already supports Drupal 9"
ckeditor_accessibility_auditor;"This module is ready for Drupal 9."
animated_scroll_to;"The dev version and the 1.3 branch is compatible with Drupal 9 requirements."
commerce_shipping_weight_tariff;"Module versions from <strong>8.x-2.0-alpha1+</strong> are Drupal Core <strong>8.8.*+</strong> compatible Module versions till <strong>8.x-1.0-alpha5</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong>"
node_access_grants;"This module is ready for Drupal 9."
flexible_views;"The code of this project is Drupal 9 ready!"
geocoder_ajax_prepopulate;"This module is Drupal 9 ready."
view_mode_switch;"This module is compatible with Drupal 9"
system_tags;"Full support as of 8.x-1.8."
ldap_auth;"<strong>Currently no known issues with Drupal 9.</strong>"
mimedetect;"D9 compatibility added to dev version"
views_migration;"This module supports drupal9"
d8_recaptcha_v3;"This module is compatible with Drupal 9."
media_file_delete;"Drupal 9 supported from day 1 😎"
media_alias_display;"1.0.x branch is Drupal 9 compatible."
enhanced_button_link;"Enhanced Button Link 8.x-1.0+ supports Drupal 9."
guesthouse_lite;"The theme is fully compatible with Drupal 9"
foldershare;"FolderShare is compatible with Drupal 9 since 1.4+ and maintains compatibility with Drupal 8.7+"
fvm;"This module is fully compatible with Drupal 9."
video_embed_media_player;"Fully compatible with Drupal 9!"
basket;"This module has been updated to work with the store on Drupal 9."
requirement;"8.x-1.1+ is Drupal 9 compatible."
google_calendar;"The module is ready for Drupal 9."
purge_queues;"This module is compatible with Drupal 9."
stripe_api;"This module is Drupal 9 compatible."
drupalauth4ssp;"No known compatibility issues"
orejime;"Orejime is Drupal 9 compatible."
rng_date_scheduler;"Not yet supported."
commerce_purchase_order;"D9 compatible and verified by automated testing."
iframe_title_filter;"This module is Drupal 9 compatible! See [#3130316]"
hierarchy_manager;"Hierarchy Manager 2.0.0 supports Drupal 9."
content_feedback;"Content Feedback 8.x-1.3+ supports Drupal 9."
varbase_auth;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_auth?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
filemime;"The 8.x-1.x branch of this module supports Drupal 9."
graphql_twig;[#3107672]
rules_send_big_email;"The module cannot be compatible with Drupal 9 until the Rules module will be compatible. See https://www.drupal.org/project/drupal/issues/3126747"
condition_field;"Condition Field 8.x-1.2 supports Drupal 9."
bootstrap_ce;"2.0.0 is Drupal 9 compatible."
autofloat;"Tested on Drupal 9 and confirmed fully functional."
uiplog;"Being done, see [#3141992] & [#3139360]."
varbase_media_header;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_media_header?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
simple_entity_merge;"Compatible with Drupal 9 since version 8.x-1.1"
organigrams;"All 8.x versions are compatible with Drupal 9."
mollie;"The module should work in Drupal 9. Report issues in the issue queue."
canto_connector;"This module used to connect canto flight to get resource."
entity_translation_unified_form;"Drupal 9 is supported and has been tested with the latest release of entity_translation_unified_form."
cool_message;"Cool message 3.0+ supports Drupal 9."
breadcrumbs_visibility;"This module is Drupal 9 compatible! See [#3130315]"
commerce_agree_terms;"This module is D9 ready!"
tca;"This module already supports Drupal 9"
webform_mautic;"Ready for Drupal 9."
flipping_book;"Help port this project at [#3186534]"
social_feed_fetcher;"<strong>Social feed fetcher</strong> module is compatible with Drupal 9"
gmap_store_locator;"This module is Drupal 9 ready."
hide_submit_d8;"8.x-1.1 release is compatible with Drupal 9."
user_login_persistent_destination;"Ready for Drupal 9 :-)"
taxonomy_bootstrap_accordion;"This module is Drupal 9 ready!"
imce_private;"2019-10-15: No drupal-check errors in this module"
markup_twig;"This module is Drupal 9 compatible in the latest branch."
field_group_metadata;"This module is fully ready for Drupal 9!"
taxonomy_max_depth;"Drupal 9 is supported since 8.x-1.1."
closeblock;"<a href=""https://www.drupal.org/project/closeblock/issues/3103467"">#3103467: Add new key core_version_requirement in closeblock.info.yml</a>"
layout_builder_tabs;"This module is ready for Drupal 9."
social_auth_github;"Version 3.0.0 supports Drupal 9."
pwned_passwords;"The maintainer will trying to keep the module D9 ready from the launch day. Please report any issues and follow the D9 port in this issue: [#3091420]"
apigee_m10n;"Apigee Monetization <strong>8.x-1.5</strong> is ready for Drupal 9.  See https://github.com/apigee/apigee-edge-drupal/issues/393 for Apigee Edge."
logouttab;"The module is compatible with 9.0"
cloudfront_purger;"The 8.x-1.x branch is compatible with Drupal 9."
tr_rulez;"This module is D9 compatible."
intense;"Intense 8.x-2.x supports Drupal 9. Enjoy."
ics_link_field;"8.x-1.x is Drupal 9 compatible."
config_auto_export;"This project is ready for Drupal 9"
bootstrap_italia;"Bootstrap_italia 8.x-0.14 and later are compatible with Drupal 9. Please use Components 2.0 https://www.drupal.org/project/components"
prev_next;"Previous/Next API 8.x-2.0-alpha1+ supports Drupal 9."
liqpay;"This module has been updated to work with the store on Drupal 9."
rules_data_exchanger;"Release 2.x is compatible with Drupal 9."
email_attachment;"This module currently doesn't use deprecated code according to Matt's <code>drupal-check</code> and is thus ready for Drupal 9."
permission_spreadsheet;"Drupal 9 has been supported since version 8.x-1.1."
vuejs;"The module is compatible with Drupal 9 since 8.x-1.0-rc3."
shortcut_menu;"Compatible with Drupal 9"
logout_redirect;"Fully Drupal 9 compatible as of 8.x-1.x."
minimalhtml;"This module is fully compatible with Drupal 9."
simplemde;"8.x-1.0-alpha4 should be Drupal 9 compatible"
logo_image_style;"Logo image style is fully compatible with Drupal 9!"
video_embed_spotify;"2019-07-31: No drupal-check errors in this module"
shuffle;"Compatible with Drupal 9 since with beta4 version."
drulma;"Latest version is compatible with Drupal 9"
media_sitemap;"Media sitemap 8.x-1.0+ supports Drupal 9."
ad_entity;"This module is compatible with D9 since 1.0-beta37."
template_whisperer;"Template Whisperer is already ready for Drupal 9 - see the issue [#3090756]"
entity_overlay;"8.x-1.x is Drupal 9 compatible."
drd;"This project is ready for Drupal 9"
webform_product;"Version 3.0.x is fully compatible with Drupal 9."
protect_form_flood_control;"Drupal 9 compatible"
jira_issue_collector;"Jira Issue Collector is Drupal 9 compatible."
recurring_donation;"Release <code>8.x-2.1</code> is D9 compatible!"
seeds_coat;"Seeds Coat supports Drupal 9. Enjoy."
webform_iban_field;"This module should be ready for D9. See issue [#3124105]."
one_time_password;"This project is compatible with Drupal 9."
paragraphs_preview_helper;"Drupal 9 supported from version 8.x-1.2 forward."
table_field_group;"Need to test"
link_icons;"Version 3.0.2 and above are Drupal 9 compatible."
views_published_or_roles;"Views Published or Roles supports Drupal 9."
ruhi;"Ruhi theme is compatible with Drupal 9 also."
galleryslider;"Pledge to have it ready before the Drupal 9 release date."
mailchimp_popup_block;"The module is Drupal 9 compatible."
readmore_extrafield;"1.x and 3.x are Drupal 9 compatible!"
queue_order;"The project is ready for Drupal 9 🎉🎉🎉"
leaflet_more_markers;"Compatible with Drupal 8.8, 8.9 and 9+."
google_webfonts_helper;"No deprecation usage."
sel;"Safe External Links is compatible with Drupal 9"
piwik_noscript;"The 8.x-1.x branch of this module supports Drupal 9."
oauth_login_oauth2;"The current 8.x module is compatible with Drupal 9"
d8_blog_theme;"Supports Drupal 9, Enjoy!"
ik_constant_contact;"Is Drupal 9 ready as of 2.0.1"
direct_checkout_by_url;"This module has no known compatibility issues with Drupal 9"
block_background_style;"Drupal 9 compatible"
access_filter;"Ｄｒｕｐａｌ 9 has been supported since version 8.x-1.3."
typekit_integration;"Typekit Integration (Adobe Fonts) now supports Drupal 9"
multiple_select;"This module is already fully compatible with Drupal 9!"
pug;"The module is fully compatible with Drupal 9."
cyrillic_to_latin;"This module is Drupal 9 ready."
custom_translation_deployments;"This module is 100% compatible with Drupal 9"
mongodb;"As of release 8.x-2.1-alpha1, this project is already Drupal 9-compatible. A Drupal 9 stable release will be published at some pointd. Report any discovered issues with the dev. or alpha versions in the meantime."
user_agent_class;"This module is Drupal 9 ready."
jsonapi_role_access;"This module is Drupal 9 ready."
search_api_saved_searches;"As the Drupal 8 version is still in early Alpha, it cannot be said when this project will properly work at all, for either Drupal 8 or 9. However, the <a href=""/project/search_api_saved_searches/releases/8.x-1.0-alpha3"">Alpha 3 release</a> fixes at least basic incompatibility with Drupal 9."
customfilter;"Drupal 9 is fully supported with a migration path from D6/D7."
datetime_flatpickr;"The latest releases are compatible with Drupal 9."
materialize_datetime_picker;"Module is compatible with Drupal 9."
username_validation;"Version 1.1 is Drupal 9 compatible."
computed_field_plugin;"This module is compatible with D9, yay!"
cookiebot_gtm;"Drupal 9 ready"
cloudflare_purge;8/9
twigjs;"This module is compatible with Drupal 9 from version 1.1."
cryptolog;"The 8.x-1.x branch of this module supports Drupal 9."
social_auth_apple;"This module is fully compatible."
custom_markup_block;"This module is compatible with Drupal 9 from version 1.1 onwards"
selection_sharer;"Working with Drupal 9."
node_delete_redirect;"The module is Drupal9 ready"
o365;"This module is compatible with Drupal 9"
raw_formatter;"2.0.0 is Drupal 9 compatible."
amun;8/9
tasty_backend;"Drupal 9 support has been added in 8.x-1.0-beta3."
advanced_scroll_top;"Available for Drupal 9."
view_entity_ref_field_formatter;"This should be in core !"
views_birthday;"Drupal 9 compatible"
image_hotspots;"<a href=""https://www.drupal.org/project/image_hotspots/issues/3103469"">#3103469: Add new key core_version_requirement in image_hotspots.info.yml </a>"
chart_suite;"Chart Suite 8.x-1.1 onwards is compatible with Drupal 9."
featurepolicy;"Compatible with Drupal 9"
ip_ban;"Please test the current dev branch for the D9 version should be released soon!"
production_checklist;"8.x-1.x is Drupal 9 compatible."
entity_pilot;"The 2.x branch has D9 support 💪"
commerce_product_taxonomy_filter;"It also supports drupal 9"
rabbitmq;"Planned for <code>3.x</code>"
auto_indexer;"This module is compatible with Drupal 9."
admin_can_login_anyuser;"Module is compatible with Drupal 9."
easy_layouts;"Easy Layouts supports Drupal 9."
rewrite_field;"2.x branch is compatible with D9. [#3141551]"
library;"The 1.x branch is D9 compliant."
create_and_translate;"This module is Drupal 9 compatible."
workbench_tabs;"This project is Drupal 9 ready."
leaflet_geojson;"1.4+ is compatible with D9"
flat_taxonomy;"Compatible with Drupal 9 from 8.x-1.2 release."
feeds_dependency;"Compatible with Drupal 9 since beta1"
varbase_api;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_api?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
file_to_media;"This module is D9 compatible 😎"
taxonomy_class;"This module is Drupal 9 compatible 🍻"
webform_select_collection;"Drupal 9 ready"
scrollbar;"This module is ready for 9.x.  Please test and give your feedback at issue <a href=""https://www.drupal.org/node/3128873"">Drupal 9.x feedback</a>."
install_profile_generator;"Drupal 9 is supported on the 3.0.x branch The 8.x-2.x branch cannot be run on Drupal 9, but install profiles generated can subsequently be installed on a Drupal 9 code base."
mapycz;"Module is Drupal 9 compatible."
term_merge_manager;"This module is fully compatible with Drupal 9."
issuu_viewer;"Compatible since version 8.x-1.4"
composite_reference;"This module is ready for Drupal 9."
sansdesordre;"This module is Drupal 9 ready."
npm;"Drupal 9 support in [#3131895]"
theme_color_meta_tag;"This project will be ported to Drupal 9 soon."
version_information;"This module is Drupal 9 compatible 🍻"
entity_repository;"Entity Repository 2.0.0 is Drupal 9 compatible."
course;"D9 work is also happening during the D8 port."
custom_add_content;"This module is already compatible with Drupal 9."
mailjet_api;"Drupal 9 ready"
go_back_history;"This module is compatible with Drupal 9."
media_delete_all;"8.x-2.x is Drupal 9 compatible"
bootstrap_storybook;"Drupal 9 ready, requires components:^3.0 module"
basket_novaposhta;"This module has been updated to work with the store on Drupal 9."
page_menu_reorder;"Ready for Drupal 9"
ui_patterns_views_style;"Already compatible (no deprecated API & core_version_requirement is set)"
anhur;8/9
commerce_quick_edit;"This module is Drupal 9 ready."
stripe_checkout;"The 8.x-2.x branch of this module is Drupal 9 compatible."
wisski;"Branch 8.x-2.x is fully D9 compatible. Branch 8.x-3.x is even PHP 8 compatible - work will continue there :)"
video_embed_panopto;"The module is Drupal 9 compatible."
commerce_price_updater;"This module is Drupal 9 ready."
stylescomboplus;"Styles Combo Plus is Drupal 8 and Drupal 9 ready."
flag_lists;"4.0.0-rc1 has been tested and fixed for Drupal 9 with <a href=""https://www.drupal.org/project/upgrade_status"" title=""Upgrade Status"">Upgrade status</a>."
lazy_image_style;"The current module version is ready to run!"
social_auth_microsoft;"3.x versions support Drupal 9."
dblog_persistent;"As of version 2.0.0, this module is compatible with Drupal 9."
io;"Intersection Observer 8.x supports Drupal 9. Enjoy."
graphql_responsive_image;"This module is ready for D9!"
webform_attachment_gated_download;"This project should work with Drupal 9. Please post any issues, with or without patches, and they will be resolved."
zooming;"Zooming 8.x supports Drupal 9. Enjoy."
bean_migrate;"Compatible with Drupal 9."
govuk_notify;"This module works with Drupal 9."
webform_views_extras;"The module will support Drupal 9."
config_suite;"Config Suite supports Drupal 9. If you want to use it with Drupal 8, I'd use version 8.x-1.12"
microcontent;"Please use the issue queue if you find anything"
navigation_blocks;"8.x-1.0-alpha22+ is Drupal 9 compatible."
lionbridge_translation_provider;"This module is compatible with Drupal 8.x and <strong>9.x</strong>"
redirect_node;"This project is compatible with Drupal 9!"
snowflakes;"Ready for Drupal 9 :-)"
doc_serialization;"Should be compatible, testing can commence!"
gpx_track_elevation;"Starting with version 8.x.1.1, ""GPX Track & Elevation Modules"" is compatible with Drupal 9."
rest_export;"The module is fully compatible with Drupal 9."
bugherd;"D9 ready"
xbbcode;"Version 4.0.0 of this module is fully compatible with Drupal 9 and Drupal 8.8+."
link_formatter;"Drupal 9 Ready"
node_view_language_permissions;"2019-07-31: No drupal-check errors in this module"
image_focus;"Drupal 9 is also supported."
varbase_faqs;"<strong><a target=""_blank"" href=""https://www.drupal.org/project/issues/search/varbase_faqs?issue_tags=Drupal+9+compatibility"">Works and ready for Drupal 9.</a></strong>"
block_country;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/block_country/releases/2.0.0"">Version 2.0.0</a>!"
config_readonly_menu_ui;"This module is Drupal 9 ready."
polyfill;"8.x-1.x-dev is Drupal 9 compatible."
botscout;"Compatible if using version 8.x-2.1 or above"
role_specific_user_block;"Role Specific User Block 8.x-1.x supports Drupal 9. Enjoy."
views_delimited_list;Done!
content_moderation_bypass;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
fragments;"Fragments is Drupal 9 compatible. Please report any issues in the issue queue."
happy_new_year;"8.x-1.3+ is Drupal 9 compatible."
iframeremove;"IFrame Remove Filter 8.x-1.1 or higher supports Drupal 9."
location_migration;"Location Migration is compatible with Drupal 9."
regcode_simple;"Release <code>8.x-1.4</code> is compatible with Drupal 9."
headroomjs;"8.x-1.0-beta3 is Drupal 9 updated."
drulma_companion;"Latest version is compatible with Drupal 9"
aws_sqs;"The module is supporting Drupal 8.8 and higher versions."
graphql_menu;"8.x-1.x is Drupal 9 compatible."
security_login_secure;"Currently no known issues with Drupal 9"
fieldhelptext;"This project is Drupal 9 ready."
decoupled_kit;"This module is ready for Drupal 9!"
miniorange_saml_idp;"<strong>This (8.x) module is compatible with Drupal 9</strong>"
novaposhta_tracking;"This module has been updated to work with the store on Drupal 9."
node_auto_expire;"This module is ready for Drupal 9."
paypal_payment;"This project is ready for Drupal 9"
dis;"Compatible with Drupal 9"
commerce_stock_notifications;"Commerce Stock Notifications 8.x-1.x is Drupal 9 ready. Enjoy."
advanced_help_hint;"Compatible with Drupal 9. But there now exists a replacement for Advanced Help that you may want to use instead. Please see: [#2920309] )."
bibcite_crossref;"Currently no known Drupal 9 compatibility issues in latest dev."
excel_importer;"This module is compatible with Drupal 9."
webform_prepopulate;"8.x-1.x is Drupal 9 compatible"
custom_login_url;"Custom Login Url supports Drupal 9"
multiple_sitemap;"<a href=""https://www.drupal.org/about/9"">Drupal 9</a> is here!"
ccos;"This module is fully compatible with Drupal 9 from the initial release itself."
facebookoembed;"No plan to port to Drupal 9"
discourse_sso;"This project is ready for Drupal 9"
logintoboggan;"The 8.x development version works with Drupal 9.2.7."
entity_reference_override;"Drupal 9 porting in progress on the 2.0.x branch."
coffee_mediteran;"Supports Drupal 9"
disable_browser_back_button;"Fully Drupal 9 compatible as of 8.x-1.x."
simple_analytics;"D9 ready"
translated_config;"Fully compatible with Drupal 9."
libraries_provider;"Module is compatible with Drupal 9"
svg_embed;"This project is ready for Drupal 9"
paragraphs_button;"8.x-1.1 is compatible with Drupal 9."
revive_adserver;"The module is Drupal 9 compatible."
private_taxonomy;"The Private Taxonomy project has been ported to Drupal 9."
views_negate;"Views Negate 8.x-1.1+ supports Drupal 9. Enjoy."
splash_redirect;"This module is compliant with all current Drupal Coding Standards and Module Documentation Guidelines as of Drupal 8.8.x. Barring any significant update to Core or Symfony ahead of the Drupal 9 release, splash_redirect should be usable with D9."
bbr;"This module is ready to use on Drupal 9 as an experimental code. Once all bugs will be fixed an stable release will be done."
domain_group;"Compatible from version 2.0.0"
env_libraries;"Env Libraries supports Drupal 9."
custom_checkboxes;"This module is already compatible with Drupal 9."
gsaml;"This module <a href=""https://www.drupal.org/project/gsaml/releases/8.x-2.1"">8.x-2.x</a> release is already fully compatible with Drupal 9!"
captcha_questions;"Captcha Questions 8.x-1.3+ supports Drupal 9. Enjoy."
ajaxin;"Ajaxin 8.x supports Drupal 9. Enjoy."
urllogin;"2.x branch is working towards stable Drupal 9 release"
backerymails;"Backerymails <code>2.x</code> is fully compatible with Drupal 9."
memory_limit_policy;"This module is compatible with Drupal 9 starting 8.x-1.2 release."
vimeo_upload;"8.x-1.x is Drupal 9 compatible."
translate_side_by_side;"2019-07-31: No drupal-check errors in this module"
user_history;"<strong>This module supports Drupal 9.</strong>"
multilingual_google_web_translator;"Ported to D9"
auctions;"Drupal 9 ready from the start!"
skins;"Skins is compatible with Drupal 9 starting with release 8.x-1.0-rc1."
sharedemail_pass_reset;"Release <code>8.x-2.0</code> is D9 compatible!"
language_switcher_langcode_block;"This module is Drupal 9 ready."
youtube_import;"This project is D9 Ready"
responsive_image_formatter_link_to_image_style;"Version 2.0.x is D9 compatible."
simpler_quickedit;"Fully compatible with D9"
nopremium;"This module is compatible with Drupal 9."
media_iframe;"This module is Drupal 9 compatible."
saml_extras;"SAML extras 8.x-1.4+ supports Drupal 9. Enjoy."
xhprof;"Help improve it at [#3121379]"
link_iframe_formatter;"2.0.0 is D9 compatible ✨"
entity_diff_ui;"Compatible with Drupal 9"
change_user_route;"3.0.x is Drupal 9 compatible"
webform_submission_files_download;"Drupal9 ready!"
uswds_ckeditor_integration;"1.0.x branch is compatible with Drupal 9."
comment_limit;"8.x-1.0-rc1+ is Drupal 9 compatible."
taxonomy_place;"This module should be Drupal 9 compatible."
ckeditor_layout_manager;"This module is drupal 9 ready."
ui_patterns_pattern_lab;"Drupal 9 compatible since 8.x-1.0-alpha6"
ipstack;"This module is ready for Drupal 9!"
ckeditor_datetime;"This module is Drupal 9 ready"
simple_password_reveal;"Drupal 9 ready!"
media_name;"8.x-1.x is Drupal 9 compatible."
christmas_lights;"Compatible with Drupal 9"
announcement_modal;"This module is Drupal 9 compatible."
mobile_app_links;"This module is D9 ready."
url_restriction_by_role;"This module is already fully compatible with Drupal 9"
commerce_funds;"This module is Drupal 9 ready."
amunet;8/9
push_framework;"This project is ready for Drupal 9"
watchdog_delete_filter;"This module has been checked and passed the tests for correctness and Drupal 9 deprecation errors provided by Drupal Check PHPStan tool: <a href=""https://github.com/mglaman/drupal-check"">https://github.com/mglaman/drupal-check</a>"
grid_view_bootstrap;"This is Drupal 9 ready."
email_formatter;"Planned at some point"
ajax_requirement;"This module is 100% compatible with Drupal 9."
